City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
216,Provideniya,RU,64.3833,-173.3,-2.2,65,90,11.18,overcast clouds,2021-01-17 23:04:06
217,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,4.61,clear sky,2021-01-17 23:04:06
218,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,40,18.41,scattered clouds,2021-01-17 23:02:12
219,Kalemie,CD,-5.9475,29.1947,69.12,84,99,3.8,overcast clouds,2021-01-17 23:04:06
220,Syedove,UA,47.0768,38.156,17.01,53,100,8.01,snow,2021-01-17 23:04:06
221,Manakara,MG,-22.1333,48.0167,78.98,89,89,6.82,overcast clouds,2021-01-17 23:04:07
222,Bondo,CD,3.8146,23.6866,71.11,65,5,2.71,clear sky,2021-01-17 23:04:07
223,Esperance,AU,-33.8667,121.9,59.0,82,0,9.22,clear sky,2021-01-17 23:04:07
224,Terra Santa,BR,-2.1042,-56.4869,81.05,67,63,1.66,broken clouds,2021-01-17 23:04:07
225,Dauphin,CA,51.1494,-100.0502,2.75,93,85,4.07,overcast clouds,2021-01-17 23:04:07
226,Hasaki,JP,35.7333,140.8333,34.0,80,75,6.91,light snow,2021-01-17 23:04:07
227,Ambon,ID,-3.6954,128.1814,77.0,94,40,4.61,light rain,2021-01-17 23:04:08
228,Tuatapere,NZ,-46.1333,167.6833,62.01,54,75,7.0,light rain,2021-01-17 23:04:08
229,Laguna,US,38.421,-121.4238,71.01,43,1,2.04,clear sky,2021-01-17 23:04:08
230,Danville,US,36.586,-79.395,46.0,49,20,4.61,few clouds,2021-01-17 23:03:00
231,Bhinmal,IN,25.0,72.25,56.35,68,0,1.19,clear sky,2021-01-17 23:04:09
232,Neuquen,AR,-38.9516,-68.0591,91.4,22,0,3.44,clear sky,2021-01-17 23:00:30
233,Akdagmadeni,TR,39.6603,35.8836,22.23,96,100,6.06,overcast clouds,2021-01-17 23:04:09
234,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.81,93,42,0.78,moderate rain,2021-01-17 23:04:09
235,Ust-Tsilma,RU,65.441,52.1498,-15.07,89,90,3.38,overcast clouds,2021-01-17 23:04:10
236,Coihaique,CL,-45.5752,-72.0662,62.6,55,75,10.36,broken clouds,2021-01-17 23:04:10
237,Saint-Francois,FR,46.4154,3.9054,36.0,100,90,3.44,overcast clouds,2021-01-17 23:04:10
238,Mount Gambier,AU,-37.8333,140.7667,57.2,94,75,14.97,broken clouds,2021-01-17 23:04:10
239,Venado Tuerto,AR,-33.7456,-61.9688,78.01,30,0,6.96,clear sky,2021-01-17 23:00:08
240,Iqaluit,CA,63.7506,-68.5145,-14.8,70,20,5.75,few clouds,2021-01-17 23:00:14
241,Paralimni,CY,35.0375,33.9833,51.01,75,20,3.44,few clouds,2021-01-17 23:04:11
242,Martinez,US,38.0194,-122.1341,75.2,29,1,4.61,clear sky,2021-01-17 23:04:11
243,Kununurra,AU,-15.7667,128.7333,84.2,65,35,4.61,scattered clouds,2021-01-17 23:01:50
244,Tinalmud,PH,13.5941,122.878,77.65,84,72,15.32,light rain,2021-01-17 23:04:11
245,Warrnambool,AU,-38.3833,142.4833,60.01,91,97,1.01,overcast clouds,2021-01-17 23:04:11
246,Humaita,BR,-7.5061,-63.0208,78.1,89,96,1.83,overcast clouds,2021-01-17 23:04:12
